Neuron_type,Modality,Neurotransmitter,Ciliated,Pharyngeal,Nb_Processes,Process_Position,Branching,Sexual_dimorphism,Mechanosensation,Gentle_Touch,Harsh_Touch,Nociception,Proprioception,Chemosensation,Thermosensation,Photosensation,Electrosensation,Texture,Oxygen_sensory,CO2_sensory,Odorsensation,Pheromone_sensory,Magnetic_Field,Humidity,Osmosensation,Dauer_Entry
RIA,interneuron,glu,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIB,interneuron,GABA,No,no,1,,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIC,interneuron,aminergic,No,no,1,,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RID,"motor,interneuron",GABA,No,no,2,DNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIF,interneuron,ACh,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIG,interneuron,glu,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIH,interneuron,5HT,No,no,1,,2,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIM,"motor,interneuron","glu,aminergic",No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIP,interneuron,unknown,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIR,interneuron,ACh,No,no,1,,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIS,interneuron,GABA,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIV,"motor,interneuron",ACh,No,no,1,,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMD_DV,motor,ACh,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMD_LR,motor,ACh,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RME_DV,motor,GABA,No,no,2,DNC/VNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RME_LR,motor,GABA,No,no,2,DNC/VNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
